created_at,text
2017-12-01,"Collision with car sends cyclist to Moncton hospital #NewBrunswick
https://t.co/rIw5yaevAl"
2017-12-01,#BREAKING: @GreggZaun fired from @Sportsnet for “inappropriate behaviour and comments.” https://t.co/fKsEI6gr8i
2017-11-30,.@Senators set to host outdoor alumni game at the Canada 150 rink Dec. 15. https://t.co/UR9xc7t5Tw
2017-11-30,"""We’re confident that we will prevail through this litigation process.” #NewBrunswick
https://t.co/i53jtbEp85"
2017-11-30,"North Koreans say they're treated ""like garbage"" in South Korea and don't want to get deported there. https://t.co/4YRlYxul50"
2017-11-30,"""Ask yourself this: Who can you trust most not to show you their penis in a professional setting?” a potential candidate for Michigan attorney general asked in a campaign video. https://t.co/6FWfypYgIO"
2017-11-30,A man who was caught on surveillance video sucker-punching a man with cerebral palsy gets 3-6 years in prison. (warning: violent content) https://t.co/gOOvSGcC76
2017-11-30,"The Saint John Salvation Army hopes to raise $200,000 for those in need. But time is running out. #NewBrunswick
https://t.co/MbLl1BCLQK"
2017-11-30,"Have you ever wanted to experience never-before-seen artifacts from the Halifax Explosion? Now you can  
https://t.co/cAsIFisM7C"
2017-11-30,From @alancross: No one can ever beat Michael Jackson's 'Thriller' https://t.co/Umxhm9jMlT
2017-11-30,"“I cherish people who have really impacted my life,"" @selenagomez says of her relationship with @justinbieber https://t.co/JkXjtvPtA6"
2017-11-30,The drone footage was shot during a severe thunderstorm warning. https://t.co/U3cbWP3qOo
2017-11-30,.@BlakeRichardsMP was forced to leave Question Period after ignoring repeated warnings to quit heckling. https://t.co/9rfeUp2N88
2017-11-30,"Experts are ""anxiously waiting"" for these drugs to come to Canada https://t.co/YiEyEaXAzW"
2017-11-30,Jim Nabors leaves behind his partner of 38 years https://t.co/oN8t6ykgfe
2017-11-30,Mass shooting survivors say the Liberal government needs to do more to protect Canadians. https://t.co/1apyX6bfHl
2017-11-30,Study sheds light on little-known migration habits of iconic Atlantic puffin https://t.co/KPWG5RvMlq
2017-11-30,WATCH LIVE: Timing of sales of Morneau family shares expected to dominate Question Period https://t.co/QCs2WbmiQi #CDNpoli
2017-11-30,#BREAKING: Air Transat ordered to cover out-of-pocket expenses for passengers caught in hours-long tarmac delay in Ottawa https://t.co/etfB4ngnyc
2017-11-30,"How does a city deal with a tragedy that claimed 2,000 lives and injured 9,000 more? By not talking about it
https://t.co/rPpZ0IDUpy"
